Timestamp,Price,Trade Volume
2019-06-26,11766,188227336
2019-06-27,12933,521683548
2019-06-28,11133,423175771
2019-06-29,12374,251088678
2019-06-30,11890,184877336
2019-07-01,10738,172764922
2019-07-02,10579,171482109
2019-07-03,10805,240430091
2019-07-04,11985,273546634
2019-07-05,11160,130466909
2019-07-06,10955,124193829
2019-07-07,11232,85554898
2019-07-08,11477,67612787
2019-07-09,12313,277905477
2019-07-10,12587,364111379
2019-07-11,12100,507237488
2019-07-12,11353,400745299
2019-07-13,11804,223317774
2019-07-14,11389,237143043
2019-07-15,10187,163504273
2019-07-16,10874,334140372
2019-07-17,9398,413796084
2019-07-18,9674,350207291
2019-07-19,10639,400333481
2019-07-20,10536,266367992
2019-07-21,10765,231375271
2019-07-22,10587,149533508
2019-07-23,10324,207597158
2019-07-24,9844,198778567
2019-07-25,9772,207985687
2019-07-26,9875,132194259
2019-07-27,9849,122793165
2019-07-28,9474,196200933
2019-07-29,9530,93425735
2019-07-30,9501,110257994
2019-07-31,9589,115667922
2019-08-01,10085,171671949
2019-08-02,10407,173753011
2019-08-03,10530,194052552
2019-08-04,10815,142750702
2019-08-05,10980,165486450
2019-08-06,11788,360876819
2019-08-07,11466,385189642
2019-08-08,11961,364388175
2019-08-09,11996,211151931
2019-08-10,11857,180122399
2019-08-11,11282,185394290
2019-08-12,11567,104661395
2019-08-13,11386,84492312
2019-08-14,10858,193935253
2019-08-15,10017,280655886
2019-08-16,10302,339458150
2019-08-17,10359,242929697
2019-08-18,10215,91003712
2019-08-19,10318,77572050
2019-08-20,10917,171807868
2019-08-21,10761,122315070
2019-08-22,10129,236246173
2019-08-23,10112,141841654
2019-08-24,10406,122936633
2019-08-25,10144,117754911
2019-08-26,10135,102865893
2019-08-27,10360,189624308
2019-08-28,10172,102638637
2019-08-29,9718,203978694
2019-08-30,9485,157535720
2019-08-31,9578,112305189
2019-09-01,9601,40437359
2019-09-02,9770,45179221
2019-09-03,10387,153032807
2019-09-04,10621,228788747
2019-09-05,10584,196753396
2019-09-06,10578,90967493
2019-09-07,10317,210268388
2019-09-08,10487,65192692
2019-09-09,10406,63124156
2019-09-10,10314,133582937
2019-09-11,10101,109189912
2019-09-12,10159,122176795
2019-09-13,10420,114864654
2019-09-14,10364,95214497
2019-09-15,10361,55063941
2019-09-16,10310,40801052
2019-09-17,10266,107174306
2019-09-18,10190,91392244
2019-09-19,10158,90728914
2019-09-20,10276,157389488
2019-09-21,10173,89963558
2019-09-22,9979,69869004
2019-09-23,10033,59501806
2019-09-24,9683,120001577
2019-09-25,8554,491431838
2019-09-26,8432,269030045
2019-09-27,8056,286339496
2019-09-28,8194,167290268
2019-09-29,8225,99366390
2019-09-30,8057,92992827
2019-10-01,8308,173526590
2019-10-02,8323,170270297
2019-10-03,8382,91246611
2019-10-04,8236,116784278
2019-10-05,8155,92819801
2019-10-06,8148,56545050
2019-10-07,7870,100404346
2019-10-08,8212,144876046
2019-10-09,8190,68942273
2019-10-10,8588,174962381
2019-10-11,8587,113137560
2019-10-12,8270,138474727
2019-10-13,8308,30579542
2019-10-14,8284,65962338
2019-10-15,8354,61644447
2019-10-16,8162,86738050
2019-10-17,8003,117969721
2019-10-18,8077,79993883
2019-10-19,7954,94710382
2019-10-20,7960,53229504
2019-10-21,8231,90340987
2019-10-22,8223,78014941
2019-10-23,8027,89353652
2019-10-24,7470,221341214
2019-10-25,7432,75975961
2019-10-26,8667,333681035
2019-10-27,9260,657396445
2019-10-28,9552,290708093
2019-10-29,9219,233830897
2019-10-30,9433,169991137
2019-10-31,9165,145730105
2019-11-01,9148,160663137
2019-11-02,9253,107433321
2019-11-03,9301,53740265
2019-11-03,9206,47020646
2019-11-04,9418,103857829
2019-11-05,9310,97692941
2019-11-06,9343,78710165
2019-11-07,9204,73169474
2019-11-08,8766,159478900
2019-11-09,8809,40216983
2019-11-10,9037,58075877
2019-11-11,8718,99417731
2019-11-12,8802,84092098
2019-11-13,8762,53278230
2019-11-14,8632,62094350
2019-11-15,8458,102346507
2019-11-16,8483,27218439
2019-11-17,8504,42762607
2019-11-18,8176,98039359
2019-11-19,8121,80797818
2019-11-20,8082,62317221
2019-11-21,7617,152565570
2019-11-22,7286,283120966
