Timestamp,Bprice,Date,Open
2019-06-26,11766,2019-06-26,7933.919922
2019-06-27,12933,2019-06-27,7939.359863
2019-06-28,11133,2019-06-28,7988.759766
2019-06-29,12374,2019-07-01,8145.850098
2019-06-30,11890,2019-07-02,8086.649902
2019-07-01,10738,2019-07-03,8129.569824
2019-07-02,10579,2019-07-05,8123.279785
2019-07-03,10805,2019-07-08,8112.910156
2019-07-04,11985,2019-07-09,8061.410156
2019-07-05,11160,2019-07-10,8183.189941
2019-07-06,10955,2019-07-11,8219.280273
2019-07-07,11232,2019-07-12,8209.200195
2019-07-08,11477,2019-07-15,8263.179688
2019-07-09,12313,2019-07-16,8251.660156
2019-07-10,12587,2019-07-17,8224
2019-07-11,12100,2019-07-18,8151.759766
2019-07-12,11353,2019-07-19,8241.339844
2019-07-13,11804,2019-07-22,8171.990234
2019-07-14,11389,2019-07-23,8242.5
2019-07-15,10187,2019-07-24,8227.360352
2019-07-16,10874,2019-07-25,8294.679688
2019-07-17,9398,2019-07-26,8294.299805
2019-07-18,9674,2019-07-29,8325.099609
2019-07-19,10639,2019-07-30,8231.769531
2019-07-20,10536,2019-07-31,8290.799805
2019-07-21,10765,2019-08-01,8190.560059
2019-07-22,10587,2019-08-02,8056.419922
2019-07-23,10324,2019-08-05,7823.330078
2019-07-24,9844,2019-08-06,7804.509766
2019-07-25,9772,2019-08-07,7747.27002
2019-07-26,9875,2019-08-08,7921.589844
2019-07-27,9849,2019-08-09,7997.189941
2019-07-28,9474,2019-08-12,7907.490234
2019-07-29,9530,2019-08-13,7852.370117
2019-07-30,9501,2019-08-14,7877.330078
2019-07-31,9589,2019-08-15,7790.200195
2019-08-01,10085,2019-08-16,7828.350098
2019-08-02,10407,2019-08-19,8006.180176
2019-08-03,10530,2019-08-20,7989.359863
2019-08-04,10815,2019-08-21,8017.069824
2019-08-05,10980,2019-08-22,8038.790039
2019-08-06,11788,2019-08-23,7943.649902
