Timestamp,Bprice,Open
2019-06-26,11766,7934
2019-06-27,12933,7939
2019-06-28,11133,7989
2019-07-01,10738,8146
2019-07-02,10579,8087
2019-07-03,10805,8130
2019-07-05,11160,8123
2019-07-08,11477,8113
2019-07-09,12313,8061
2019-07-10,12587,8183
2019-07-11,12100,8219
2019-07-12,11353,8209
2019-07-15,10187,8263
2019-07-16,10874,8252
2019-07-17,9398,8224
2019-07-18,9674,8152
2019-07-19,10639,8241
2019-07-22,10587,8172
2019-07-23,10324,8243
2019-07-24,9844,8227
2019-07-25,9772,8295
2019-07-26,9875,8294
2019-07-29,9530,8325
2019-07-30,9501,8232
2019-07-31,9589,8291
2019-08-01,10085,8191
2019-08-02,10407,8056
2019-08-05,10980,7823
2019-08-06,11788,7805
2019-08-07,11466,7747
2019-08-08,11961,7922
2019-08-09,11996,7997
2019-08-12,11567,7907
2019-08-13,11386,7852
2019-08-14,10858,7877
2019-08-15,10017,7790
2019-08-16,10302,7828
2019-08-19,10318,8006
2019-08-20,10917,7989
2019-08-21,10761,8017
2019-08-22,10129,8039
2019-08-23,10112,7944
2019-08-26,10135,7830
2019-08-27,10360,7909
2019-08-28,10172,7798
2019-08-29,9718,7946
2019-08-30,9485,8015
2019-09-03,10387,7906
2019-09-04,10621,7950
2019-09-05,10584,8061
2019-09-06,10578,8126
2019-09-09,10406,8131
2019-09-10,10314,8050
2019-09-11,10101,8092
2019-09-12,10159,8207
2019-09-13,10420,8191
2019-09-16,10310,8122
2019-09-17,10266,8149
2019-09-18,10190,8175
2019-09-19,10158,8194
2019-09-20,10276,8185
2019-09-23,10033,8106
2019-09-24,9683,8147
2019-09-25,8554,7991
2019-09-26,8432,8070
2019-09-27,8056,8047
2019-09-30,8057,7964
2019-10-01,8308,8027
2019-10-02,8323,7851
2019-10-03,8382,7787
2019-10-04,8236,7908
2019-10-07,7870,7956
2019-10-08,8212,7898
2019-10-09,8190,7896
2019-10-10,8588,7905
2019-10-11,8587,8047
2019-10-14,8284,8044
2019-10-15,8354,8075
2019-10-16,8162,8120
2019-10-17,8003,8177
2019-10-18,8077,8150
2019-10-21,8231,8137
2019-10-22,8223,8188
2019-10-23,8027,8090
2019-10-24,7470,8180
2019-10-25,7432,8151
2019-10-28,9552,8286
2019-10-29,9219,8313
2019-10-30,9433,8284
2019-10-31,9165,8314
2019-11-01,9148,8335
2019-11-04,9418,8446
2019-11-05,9310,8447
2019-11-06,9343,8427
2019-11-07,9204,8455
2019-11-08,8766,8423
2019-11-11,8718,8431
2019-11-12,8802,8471
2019-11-13,8762,8455
2019-11-14,8632,8461
2019-11-15,8458,8524
2019-11-18,8176,8529
2019-11-19,8121,8578
2019-11-20,8082,8544
2019-11-21,7617,8528
2019-11-22,7286,8531
2019-11-25,7130,8560
2019-11-26,7164,8635
2019-11-27,7524,8670
2019-11-29,7757,8682
2019-12-02,7310,8673
2019-12-03,7297,8461
2019-12-04,7193,8557
2019-12-05,7396,8588
2019-12-06,7547,8634
2019-12-09,7337,8651
2019-12-10,7221,8624
2019-12-11,7202,8631
2019-12-12,7189,8645
2019-12-13,7252,8714
2019-12-16,6880,8791
2019-12-17,6612,8829
2019-12-18,7284,8835
2019-12-19,7151,8839
2019-12-20,7190,8912
2019-12-23,7322,8950
2019-12-24,7251,8955
2019-12-26,7194,8970
2019-12-27,7244,9049
2019-12-30,7220,9004
2019-12-31,7168,8919
2020-01-02,6944,9039
2020-01-03,7326,8976
2020-01-06,7759,8944
2020-01-07,8165,9077
2020-01-08,8043,9068
2020-01-09,7818,9202
2020-01-10,8185,9233
2020-01-13,8105,9214
2020-01-14,8842,9271
2020-01-15,8814,9254
2020-01-16,8722,9313
2020-01-17,8900,9392
2020-01-21,8722,9361
2020-01-22,8659,9414
2020-01-23,8388,9378
2020-01-24,8428,9446
2020-01-27,8896,9092
2020-01-28,9386,9202
2020-01-29,9280,9318
2020-01-30,9502,9211
2020-01-31,9334,9324
2020-02-03,9285,9191
2020-02-04,9162,9398
2020-02-05,9615,9574
2020-02-06,9756,9541
2020-02-07,9808,9527
2020-02-10,9855,9494
2020-02-11,10275,9681
2020-02-12,10354,9689
2020-02-13,10242,9657
2020-02-14,10369,9729
2020-02-18,10181,9679
2020-02-19,9605,9783
2020-02-20,9607,9799
2020-02-21,9697,9708
2020-02-24,9664,9188
2020-02-25,9309,9301
2020-02-26,8786,9012
2020-02-27,8805,8744
2020-02-28,8712,8270
2020-03-02,8913,8667
2020-03-03,8754,8965
2020-03-04,8759,8834
2020-03-05,9067,8790
2020-03-06,9156,8469
2020-03-09,8039,7958
2020-03-10,7932,8220
2020-03-11,7885,8136
2020-03-12,7937,7399
2020-03-13,4830,7610
2020-03-16,5348,7393
2020-03-17,5026,7072
2020-03-18,5358,6902
2020-03-19,5410,6996
2020-03-20,6195,7248
2020-03-23,5823,6847
2020-03-24,6502,7196
2020-03-25,6768,7421
2020-03-26,6698,7462
2020-03-27,6764,7554
2020-03-30,5885,7583
2020-03-31,6405,7740
2020-04-01,6428,7460
2020-04-02,6653,7317
2020-04-03,6809,7477
2020-04-06,6777,7660
2020-04-07,7343,8130
2020-04-08,7206,7976
2020-04-09,7365,8169
2020-04-13,6915,8128
2020-04-14,6858,8353
2020-04-15,6872,8356
2020-04-16,6624,8479
2020-04-17,7112,8667
2020-04-20,7130,8553
2020-04-21,6840,8461
2020-04-22,6853,8435
2020-04-23,7131,8529
2020-04-24,7478,8530
2020-04-27,7699,8718
2020-04-28,7791,8826
2020-04-29,7765,8803
2020-04-30,8778,8911
2020-05-01,8629,8681
2020-05-04,8904,8555
2020-05-05,8886,8810
2020-05-06,9031,8875
2020-05-07,9171,8974
2020-05-08,10002,9057
2020-05-11,8754,9055
2020-05-12,8617,9225
2020-05-13,8815,9006
2020-05-14,9306,8788
2020-05-15,9790,8840
2020-05-18,9669,9177
2020-05-19,9719,9227
2020-05-20,9786,9306
2020-05-21,9511,9375
2020-05-22,9058,9279
2020-05-26,8900,9501
2020-05-27,8843,9346
2020-05-28,9198,9393
2020-05-29,9569,9382
2020-06-01,9451,9471
2020-06-02,10204,9567
2020-06-03,9526,9652
2020-06-04,9658,9650
2020-06-05,9795,9704
2020-06-08,9754,9823
2020-06-09,9783,9867
2020-06-10,9775,10012
2020-06-11,9892,9791
2020-06-12,9286,9716
2020-06-15,9330,9427
2020-06-16,9427,9950
2020-06-17,9526,9943
2020-06-18,9455,9892
2020-06-19,9380,10042
2020-06-22,9285,9945
2020-06-23,9692,10131
2020-06-24,9621,10093
2020-06-25,9277,9899
2020-06-26,9241,9995
2020-06-29,9127,9772
2020-06-30,9185,9875
2020-07-01,9134,10064
2020-07-02,9236,10269
2020-07-06,9089,10360
2020-07-07,9349,10412
2020-07-08,9256,10409
2020-07-09,9440,10564
2020-07-10,9238,10546
2020-07-13,9296,10730
2020-07-14,9238,10310
2020-07-15,9255,10577
2020-07-16,9194,10444
2020-07-17,9131,10501
2020-07-20,9215,10526
2020-07-21,9164,10838
2020-07-22,9393,10688
2020-07-23,9537,10690
2020-07-24,9613,10294
2020-07-27,9939,10422
2020-07-28,11042,10509
2020-07-29,10935,10475
2020-07-30,11103,10450
2020-07-31,11115,10741
2020-08-03,11078,10849
2020-08-04,11243,10898
2020-08-05,11194,10968
2020-08-06,11750,10990
2020-08-07,11773,11073
2020-08-10,11684,11034
2020-08-11,11893,10943
2020-08-12,11392,10878
2020-08-13,11573,11027
2020-08-14,11777,11042
2020-08-17,11914,11083
2020-08-18,12294,11171
2020-08-19,11970,11215
2020-08-20,11734,11096
2020-08-21,11866,11258
2020-08-24,11653,11449
2020-08-25,11764,11370
2020-08-26,11337,11517
2020-08-27,11467,11688
2020-08-28,11302,11689
2020-08-31,11708,11719
2020-09-01,11660,11851
2020-09-02,11923,12047
2020-09-03,11397,11862
2020-09-04,10188,11396
2020-09-08,10368,10901
2020-09-09,10122,11065
2020-09-10,10228,11236
2020-09-11,10353,11010
2020-09-14,10331,11010
2020-09-15,10675,11194
2020-09-16,10786,11222
2020-09-17,10948,10796
2020-09-18,10944,10973
2020-09-21,10920,10610
2020-09-22,10430,10873
2020-09-23,10532,10951
2020-09-24,10234,10551
2020-09-25,10732,10680
2020-09-28,10774,11084
